key,value
Name,নাম
Email,ইমেল 
Phone,ফোন 
Date Of Birth,জন্ম তারিখ
Father's/Husband's Name,পিতা/স্বামীর নাম
Relationship,সম্পর্ক
Mobile No,মোবাইল নম্বর
Email,ইমেইল
Nationality,জাতীয়তা
Qualification,যোগ্যতা 
Marital status,বৈবাহিক অবস্থা
Is Passport Available,পাসপোর্ট কি উপলব্ধ? 
Is Physically Handicap,শারীরিকভাবে অক্ষম কি?
Is International Worker,আপনি কি আন্তর্জাতিক কর্মী?
Country of origin,উত্স দেশ
Passport Number,পাসপোর্ট নম্বর
Date Of Issue,ইস্যুর তারিখ
Date of Expiry,মেয়াদ শেষের তারিখ
Personal Details,ব্যক্তিগত বিবরণ
Passport Details,পাসপোর্টের বিবরণ
Handicap Details,প্রতিবন্ধকতার বিবরণ
Passport Verification,পাসপোর্ট যাচাই
Certificate / File Upload,সার্টিফিকেট / ফাইল আপলোড
10th pass Certificate,১০ম শ্রেণি পাস সার্টিফিকেট 
Please upload 10th pass certificate,অনুগ্রহ করে ১০ম শ্রেণি পাস সার্টিফিকেট আপলোড করুন
PAN Card,প্যান কার্ড
Please upload PAN Card,অনুগ্রহ করে প্যান কার্ড আপলোড করুন
Handicap type,প্রতিবন্ধকতার ধরণ
Handicap_Type,প্রতিবন্ধকতার ধরণ
Handicap Verification,প্রতিবন্ধকতা যাচাই  
Please upload your Handicap Certificate,অনুগ্রহ করে আপনার প্রতিবন্ধকতা সার্টিফিকেট আপলোড করুন
PF Details,  পিএফ বিবরণ
Do you have PF under any Trust/Private i.e non-EPFO PF  in the past or present,আপনার কি অতীতে বা বর্তমানে কোনো ট্রাস্ট/প্রাইভেট অর্থাৎ অ-EPFO PF রয়েছে?
Do you have UAN number,আপনার কি একটি UAN নম্বর আছে?
No,না
Yes,হ্যাঁ 
Aadhaar Verification,আধার যাচাই
Aadhaar verification by XML or External Source?,আপনি কি XML বা বাইরের উৎসের মাধ্যমে আধার যাচাই করতে চান?
As part of onboarding process Please generate your e-KYC verification file and upload it here. To see the details steps,অনবোর্ডিং প্রক্রিয়ার অংশ হিসেবে অনুগ্রহ করে আপনার e-KYC যাচাই ফাইল তৈরি করুন এবং এখানে আপলোড করুন। বিস্তারিত ধাপ দেখতে
Click here,এখানে ক্লিক করুন
I have downloaded the Aadhar e-KYC file,আমি আধার e-KYC ফাইল ডাউনলোড করেছি।
Name On Aadhaar,আধারে নাম
Share Code (to be provided after uploading),শেয়ার কোড (আপলোড করার পরে প্রদান করা হবে)
Verify,যাচাই করুন 
Driving License Verification,ড্রাইভিং লাইসেন্স যাচাই
Fetch Aadhaar Details,আধার বিবরণ আনুন
Previous,পূর্ববর্তী 
Next,পরবর্তী
Verification,যাচাই 
Do you have a driving license?,আপনার কি ড্রাইভিং লাইসেন্স আছে?
Driving License Number,ড্রাইভিং লাইসেন্স নম্বর 
PAN Verification (optional),প্যান যাচাই (ঐচ্ছিক) 
Do you have PAN Detail?,আপনার কি প্যানের বিবরণ আছে ?
PAN Number,প্যান নম্বর
Name on PAN,প্যান কার্ডের নাম 
PAN Verified,প্যান যাচাই করা হয়েছে 
Your PAN is successfully verified.,আপনার প্যান সফলভাবে যাচাই করা হয়েছে।
OK,ঠিক আছে
Bank Verification,ব্যাংক যাচাই 
Bank Account Number,ব্যাংক অ্যাকাউন্ট নম্বর 
IFSC Code,আইএফএসসি কোড 
Save as Draft,খসড়া হিসেবে সংরক্ষণ করুন
